điểm chất lượng,điểm phục vụ,điểm không gian,điểm giá cả,điểm vị trí,địa điểm,thời gian mở,thời gian đóng,khoảng giá,Tổng bình luận,bình luyện tuyệt vời,bình luận tốt,bình luận trung bình,bình luận kém,Tên nhà hàng
7.8,7.7,7.6,7.4,7.1,184 hào nam quận đống đa hà nội,09:00,22:30,50.000đ - 100.000đ,445,25,346,58,16,grille6-steakhouse
8.0,5.7,5.7,5.3,4.7,67 nguyễn tuân quận thanh xuân hà nội,09:00,22:00,35.000đ - 50.000đ,3,0,1,1,1,banh-trang-thit-heo-nguyen-tuan
8.7,8.0,8.0,7.7,5.7,14 ngõ 298 tây sơn quận đống đa hà nội,08:00,22:30,20.000đ - 100.000đ,3,0,3,0,0,fagioli-coffee-cake
7.0,6.8,6.4,6.1,6.1,63 thái thịnh quận đống đa hà nội,07:00,21:00,20.000đ - 33.000đ,14,0,9,3,2,ngoc-lan-pho-mi-xao-chao
7.6,7.6,7.3,7.1,6.9,217 trần quốc hoàn p dịch vọng hậu quận cầu giấy hà nội,10:00,22:00,15.000đ - 209.000đ,12,1,7,2,2,ga-ran-tori-go-tran-quoc-hoan
6.7,6.0,5.8,5.8,5.7,08 trần quốc toản quận hải châu đà nẵng,08:00,22:30,30.000đ - 200.000đ,6,0,4,0,2,ha-noi-food-am-thuc-ha-noi
8.3,7.8,7.5,7.5,7.0,166 xô viết ngệ tĩnh quận ninh kiều cần thơ,10:00,22:00,20.000đ - 85.000đ,4,0,4,0,0,ha-noi-foods-bun-dau-mam-tom
7.2,7.1,7.1,7.0,6.9,29 võ thị sáu quận ninh kiều cần thơ,08:00,21:30,20.000đ - 70.000đ,78,2,47,21,8,dac-san-ha-noi-tobokki-ly-tu-trong
8.0,7.5,7.5,7.0,7.0,84 nguyễn thị minh khai tp vinh nghệ an,05:00,21:00,35.000đ - 50.000đ,2,0,2,0,0,dung-vinh-pho-ha-noi
9.0,8.0,8.0,8.0,8.0,349 đường 30 tháng 4 p 1 thành phố tây ninh tây ninh,07:00,10:00,25.000đ - 35.000đ,1,0,1,0,0,pho-bac-hai-ha-noi-duong-30-thang-4
8.4,7.9,7.8,7.3,7.0,84 trấn vũ quận ba đình hà nội,09:00,21:30,8.000đ - 20.000đ,49,4,37,6,2,tram-sushi
7.8,7.5,7.4,7.3,6.7,99 bạch mai quận hai bà trưng hà nội,10:00,22:00,20.000đ - 60.000đ,111,5,79,24,3,tra-sua-kai-tea
7.7,7.4,7.0,6.9,6.9,81 mạc thái tổ p yên hòa quận cầu giấy hà nội,07:00,23:00,30.000đ - 150.000đ,7,0,5,1,1,angtoan-cafe
8.2,7.7,7.6,7.4,7.1,237 kim ngưu quận hai bà trưng hà nội,10:00,23:00,100.000đ - 200.000đ,40,10,18,7,5,xa-han-lau-nuong-khong-khoi
8.7,7.0,6.7,6.7,6.3,540 thụy khuê quận tây hồ hà nội,08:00,20:30,8.000đ - 20.000đ,3,0,3,0,0,kem-merino
8.5,8.4,8.2,8.0,7.3,17t4 hoàng đạo thúy quận thanh xuân hà nội,10:00,23:00,150.000đ - 300.000đ,319,124,132,46,17,cowboy-jack-s-american-dining-hoang-dao-thuy
7.1,6.6,6.1,5.4,5.4,18 hàng thùng quận hoàn kiếm hà nội,17:00,23:00,50.000đ - 165.000đ,7,0,3,3,1,oc-gai-sai-gon
7.3,6.8,6.5,6.3,5.6,tầng m toà nhà sông hồng 165 thái hà quận đống đa hà nội,07:00,23:59,20.000đ - 100.000đ,20,3,9,4,4,trixie-cafe-lounge
7.6,7.4,7.3,6.6,6.3,61 trần nhân tông quận hai bà trưng hà nội,09:00,21:00,20.000đ - 100.000đ,97,10,53,26,8,kiah-et-miu-gateaux-tiem-banh-online
8.2,8.2,8.0,8.0,8.0,tầng 4 5 center point 27 lê văn lương quận thanh xuân hà nội,10:00,22:00,338.000đ - 358.000đ,119,57,35,18,9,buffet-poseidon-seafood-bbq-hotpot-buffet
8.4,8.1,7.6,7.5,7.5,ngõ 53 yên lãng quận đống đa hà nội,08:00,22:00,50.000đ - 200.000đ,10,4,5,0,1,trau-vuon-quan
7.4,7.0,6.9,6.7,6.7,23 trần hưng đạo quận hoàn kiếm hà nội,15:00,10:00,30.000đ - 60.000đ,9,3,1,3,2,xoi-quynh-lan
7.7,7.3,7.1,6.9,6.2,33 trần hưng đạo p phan chu trinh quận hoàn kiếm hà nội,08:00,23:00,250.000đ - 440.000đ,74,3,46,21,4,seoul-garden-tran-hung-dao
6.9,6.6,6.0,5.8,5.7,3 thụy khuê p thụy khuê quận tây hồ hà nội,06:00,20:30,25.000đ - 25.000đ,44,0,19,17,8,banh-gio-co-beo
7.0,6.8,6.6,6.3,6.1,4 thụy khuê quận tây hồ hà nội,17:00,23:00,50.000đ - 110.000đ,39,3,14,19,3,chan-ga-canh-ga-nuong-thuy-khue
8.2,7.7,7.4,7.1,6.9,8b hàng tre quận hoàn kiếm hà nội,09:00,22:00,25.000đ - 100.000đ,33,3,23,7,0,always-cafe-hang-tre
8.2,8.1,8.1,7.8,6.5,59a trần quốc toản quận hoàn kiếm hà nội,11:00,22:00,80.000đ - 165.000đ,97,11,74,11,1,moo-beef-steak-ii
8.8,8.8,8.0,8.0,7.8,18 hồ văn chương quận đống đa hà nội,07:00,22:00,15.000đ - 50.000đ,4,1,3,0,0,18-cafe-ho-van-chuong
10.0,10.0,9.0,9.0,9.0,6 kim đồng quận hoàng mai hà nội,08:00,22:00,100.000đ - 400.000đ,1,1,0,0,0,tamaya-nha-hang-nhat-ban-kim-dong
7.2,6.8,6.4,5.9,5.7,đối diện 44 ngõ 86 chùa hà 69 ngõ 12 nguyễn văn huyên quận cầu giấy hà nội,09:30,21:00,20.000đ - 100.000đ,116,5,62,26,23,nem-nuong-nha-trang-xuan-thuy
7.1,6.9,6.8,6.7,6.0,tầng 3 aeon mall long biên 27 cổ linh quận long biên hà nội,08:00,21:30,100.000đ - 300.000đ,114,2,61,38,13,hong-kong-town-aeon-mall-long-bien
7.6,7.1,6.9,6.7,6.7,tầng 1tầng 1 iph 239 xuân thủy quận cầu giấy hà nội,10:00,22:00,50.000đ - 110.000đ,97,3,63,27,4,kfc-iph-xuan-thuy
8.1,7.8,7.4,6.8,6.8,5 hàn thuyên quận hai bà trưng hà nội,06:00,22:00,35.000đ - 35.000đ,8,0,6,2,0,thu-la-ghien-bun-bo-hue
6.9,6.9,6.4,6.2,6.2,60 hồ tùng mậu quận cầu giấy hà nội,08:00,23:00,30.000đ - 60.000đ,99,1,49,34,15,tra-sua-tocotoco-ho-tung-mau
7.8,7.7,7.3,7.3,7.3,tầng 1 aeon mall long biên 27 cổ linh quận long biên hà nội,08:00,22:00,50.000đ - 400.000đ,443,17,338,79,5,food-court-aeon-mall-long-bien
8.0,7.3,7.3,6.8,6.5,53 ngõ 1 phạm văn đồng quận cầu giấy hà nội,,,30.000đ - 150.000đ,4,0,3,1,0,xiu-pao-du-du-shop-online
8.0,8.0,8.0,7.0,7.0,386 nguyễn công trứ p nam bình tp ninh bình ninh bình,09:00,22:00,25.000đ - 150.000đ,1,0,1,0,0,canh-dieu-bia-hoi-ha-noi
8.0,7.0,7.0,7.0,7.0,376a nguyễn công hãng p trần phú tp bắc giang bắc giang,08:00,22:00,50.000đ - 600.000đ,1,0,1,0,0,ha-thanh-quan-phong-vi-am-thuc-ha-noi-xua
10.0,10.0,10.0,10.0,7.0,trần phú p gia cẩm tp việt trì phú thọ,07:00,22:00,20.000đ - 40.000đ,1,1,0,0,0,ha-noi-corner-coffee
8.0,8.0,7.0,7.0,7.0,nguyễn du p nông trang tp việt trì phú thọ,06:00,22:00,20.000đ - 50.000đ,1,0,1,0,0,pho-thin-ha-noi
10.0,9.0,9.0,8.0,7.0,ki ốt 22 trung tâm thương mại happy land hà liễu p gia cẩm tp việt trì phú thọ,07:00,22:00,20.000đ - 55.000đ,1,0,1,0,0,ha-noi-quan-mon-ngon-ha-noi
8.0,7.0,7.0,6.0,6.0,cầu treo thôn thư thị xã tân lập yên mỹ hưng yên,09:00,22:00,10.000đ - 50.000đ,1,0,0,1,0,ha-noi-quan-an-vat-cac-loai
7.7,7.7,7.5,7.2,6.3,49 quang trung quận hoàn kiếm hà nội,07:30,23:00,25.000đ - 50.000đ,10,0,6,4,0,oc-thi-no
8.1,7.9,7.8,7.6,7.3,80 tam khương đầu tôn thất tùng vào 300m đối diện tocotoco quận đống đa hà nội,06:30,23:00,15.000đ - 50.000đ,60,14,31,11,4,loki-house-tao-pho-tra-sua-banh-bao-ga-ton-that-tung
8.7,7.0,6.3,6.3,5.3,71a hồng mai quận hai bà trưng hà nội,08:00,22:00,25.000đ - 40.000đ,3,0,1,2,0,tra-sua-miss-tastea
7.3,6.9,6.6,6.6,6.0,61a ngõ huyện quận hoàn kiếm hà nội,11:00,18:30,15.000đ - 33.000đ,204,5,99,82,18,chao-suon-ngo-huyen
7.9,7.5,7.3,7.3,7.1,515 nguyễn trãi quận thanh xuân hà nội,08:00,23:30,30.000đ - 70.000đ,60,20,24,8,8,royaltea-tra-sua-hong-kong-nguyen-trai
9.5,8.3,8.0,7.3,6.5,102 mai hắc đế quận hai bà trưng hà nội,10:00,22:30,30.000đ - 400.000đ,4,0,4,0,0,sogo-cook-lau-hongkong
7.7,7.2,6.6,6.3,6.1,1a8 ngõ 215 trần quốc hoàn quận cầu giấy hà nội,08:00,22:00,20.000đ - 40.000đ,13,1,5,6,1,che-thuy-van-tran-quoc-hoan
7.4,7.2,7.1,7.1,7.0,24 26 nguyễn trường tộ quận ba đình hà nội,11:00,22:00,100.000đ - 250.000đ,125,10,75,29,10,seoul-bbq-nguyen-truong-to
8.3,8.0,7.0,7.0,6.7,7 tô ngọc vân quận tây hồ hà nội,10:30,23:00,50.000đ - 150.000đ,3,0,2,1,0,handi-pakistan-restaurant
7.6,7.6,7.3,7.2,7.0,88 hồ tùng mậu p mai dịch quận cầu giấy hà nội,09:00,21:00,26.000đ - 52.000đ,95,6,63,18,8,tra-sua-bobapop-ho-tung-mau
7.7,7.7,7.5,7.3,6.9,123 ô chợ dừa quận đống đa hà nội,09:00,23:00,25.000đ - 60.000đ,223,21,154,38,10,regiustea-thien-ngu-hoang-tra
8.0,8.0,8.0,8.0,8.0,tổ 5 p thanh trường điện biên phủ điện biên,09:00,23:00,50.000đ - 620.000đ,1,0,1,0,0,dung-beo-cac-mon-nhau-bia-ha-noi
8.4,8.2,8.2,8.0,8.0,140 phạm ngũ lão p hiệp thành thành phố thủ dầu một bình dương,06:00,09:00,15.000đ - 25.000đ,5,1,4,0,0,bun-cha-ha-noi-pham-ngu-lao
9.0,9.0,8.0,8.0,8.0,101c6 đặng văn ngữ đối diện 35 đặng văn ngữ quận đống đa hà nội,07:00,23:00,15.000đ - 50.000đ,1,0,1,0,0,80-s-cafe
8.9,7.6,7.0,6.4,5.9,56 bt8 hồ văn quán quận hà đông hà nội,07:00,23:00,20.000đ - 70.000đ,52,5,30,10,7,an-garden-cafe
8.0,7.8,7.7,7.4,7.1,120 k1 giảng võ quận ba đình hà nội,10:00,22:00,60.000đ - 88.000đ,119,7,95,15,2,cha-ca-anh-vu
8.6,8.4,8.2,8.2,7.0,2f nguyễn khánh toàn quận cầu giấy hà nội,09:00,22:00,50.000đ - 165.000đ,25,5,18,2,0,moo-beef-steak-nguyen-khanh-toan
,,,,,đường k2 quận bắc từ liêm hà nội,08:00,23:00,299.000đ - 299.000đ,,,,,,ga-khong-loi-thoat-688832
7.9,7.8,7.5,7.1,6.9,32 ô chợ dừa mới 69 ô chợ dừa cũ quận đống đa hà nội,09:00,23:00,50.000đ - 70.000đ,407,26,297,70,13,banh-canh-ghe-69-o-cho-dua
7.7,7.6,7.5,6.9,6.8,ngõ 15 trương hán siêu cửa đầu tiên bên phải quận hoàn kiếm hà nội,08:00,19:00,280.000đ - 300.000đ,71,5,53,8,5,ngoc-s-freshsauce-suon-bbq-nuoc-sot-online
7.8,7.0,6.8,5.7,4.8,13 liễu giai quận ba đình hà nội,09:00,22:30,50.000đ - 500.000đ,6,1,2,1,2,song-duong-dac-san-de-re-lieu-giai
7.7,7.3,7.0,6.7,5.9,26 trần bình trọng quận hai bà trưng hà nội,09:00,20:00,30.000đ - 500.000đ,19,0,11,5,3,homefood-mon-chay-thuc-duong
8.0,7.9,7.5,7.3,7.0,57 ngõ 82 chùa láng quận đống đa hà nội,08:00,22:00,10.000đ - 60.000đ,12,2,8,1,1,hotdog-cafe
8.0,8.0,7.8,7.3,6.7,tầng 1l1 r3 royal city 72a nguyễn trãi quận thanh xuân hà nội,09:00,22:00,20.000đ - 550.000đ,113,11,80,20,2,tous-les-jours-royal-city
7.5,7.3,7.2,7.2,6.9,188 thái hà quận đống đa hà nội,09:00,22:00,35.000đ - 55.000đ,72,1,52,17,2,tra-sua-tocotoco-thai-ha
7.8,7.3,7.0,6.9,6.8,113 ô chợ dừa quận đống đa hà nội,09:30,22:30,25.000đ - 44.000đ,41,4,23,11,3,tra-sua-tocotoco-o-cho-dua
7.5,7.5,6.0,6.0,6.0,tập thể c5 giảng võ quận ba đình hà nội,11:00,19:00,5.000đ - 30.000đ,2,0,1,1,0,nom-nem-cuon-an-vat-giang-vo
7.5,7.3,7.3,7.2,7.2,tầng 5 tòa nhà artemis 3 lê trọng tấn quận thanh xuân hà nội,09:00,22:00,100.000đ - 400.000đ,32,3,21,6,2,gyu-kaku-japanese-bbq-artemis-tower
8.2,7.4,6.9,6.7,6.3,162 phố huế quận hai bà trưng hà nội,11:00,22:00,30.000đ - 100.000đ,66,1,41,21,3,pop-quan-pho-hue
6.8,6.7,6.5,6.1,5.8,387 trương định quận hoàng mai hà nội,09:00,23:00,25.000đ - 70.000đ,24,3,10,6,5,tra-sua-tocotoco-truong-dinh
7.7,7.3,7.3,6.9,6.5,159 xã đàn quận đống đa hà nội,09:30,21:00,80.000đ - 200.000đ,93,1,68,19,5,z-pizza-xa-dan
8.2,7.7,7.5,7.3,7.2,tầng 4 166 ngọc khánh quận ba đình hà nội,09:00,22:00,25.000đ - 500.000đ,24,2,19,3,0,tro-sweet-cake-bakery-ngoc-khanh
7.2,7.2,6.6,6.4,6.0,482 xã đàn quận đống đa hà nội,09:00,22:00,60.000đ - 100.000đ,41,8,16,7,10,com-123-xa-dan
6.5,6.0,5.3,5.3,4.5,565 hoàng hoa thám quận ba đình hà nội,17:00,23:00,170.000đ - 500.000đ,4,0,2,1,1,bao-sang-lau-ech-lau-suon-sun-cac-mon-nhau
7.6,7.2,7.1,6.8,6.7,12 hàng than quận ba đình hà nội,08:00,21:00,50.000đ - 500.000đ,15,0,13,2,0,bao-minh-dac-san-banh-co-truyen-ha-noi
6.5,6.2,5.9,5.8,5.5,127 chùa láng quận đống đa hà nội,09:00,22:00,25.000đ - 300.000đ,109,0,52,29,28,nha-hang-an-vien-chua-lang
7.8,7.6,6.8,6.5,6.0,1a ngõ 135 phương mai quận đống đa hà nội,09:30,21:30,10.000đ - 22.000đ,108,3,57,43,5,thit-xien-rau-cau-phuong-mai
7.8,7.8,7.6,7.0,6.5,45 cửa bắc quận ba đình hà nội,13:00,17:00,15.000đ - 20.000đ,13,1,10,1,1,chao-suon-cua-bac
8.1,7.6,7.4,7.0,6.9,111 ngõ 3 vũ thạnh quận đống đa hà nội,10:00,21:00,20.000đ - 200.000đ,33,4,20,6,3,nha-ga-ga-ran
8.0,7.7,7.0,7.0,6.5,99 xã đàn quận đống đa hà nội,07:00,23:00,15.000đ - 50.000đ,43,2,31,7,3,tra-sua-feeling-tea-xa-dan
7.9,7.6,7.5,7.5,6.6,107 lò đúc quận hai bà trưng hà nội,10:30,21:30,89.000đ - 89.000đ,138,6,101,28,3,kampong-chicken-house-lo-duc
6.8,6.8,6.8,6.2,6.1,102 g22 huỳnh thúc kháng quận đống đa hà nội,10:00,22:00,30.000đ - 66.000đ,171,2,83,68,18,sui-cao-de-nhat-dong-bac
7.7,7.6,7.2,6.8,6.5,161 láng hạ quận đống đa hà nội,06:30,21:00,29.000đ - 35.000đ,72,14,30,20,8,bami-king-banh-mi-bo-nuong-lang-ha
8.2,7.8,7.7,7.4,7.1,614 lạc long quân quận tây hồ hà nội,10:00,23:00,38.000đ - 2.820.000đ,375,34,270,56,15,sen-tay-ho-lac-long-quan
,,,,,37 tôn đức thắng quận đống đa hà nội,09:00,23:00,30.000đ - 50.000đ,,,,,,cha-go-tea-caf-e-ton-duc-thang
10.0,10.0,9.0,9.0,8.0,230 hà huy tập gia lâm hà nội,08:00,23:00,19.000đ - 50.000đ,1,1,0,0,0,tra-sua-kumbu-tea
8.3,7.8,7.5,6.3,5.8,54 đào tấn quận ba đình hà nội,10:00,22:00,100.000đ - 150.000đ,4,2,0,1,1,nep-nha-com-viet-am-thuc-viet
7.9,7.8,7.7,7.5,7.2,107 láng hạ quận đống đa hà nội,06:30,22:00,15.000đ - 30.000đ,34,5,23,5,1,bami-bread-lang-ha
7.4,7.2,7.2,7.1,6.5,103 nam đồng quận đống đa hà nội,07:00,22:00,29.000đ - 55.000đ,193,13,117,50,13,banh-mi-cuoi
8.2,8.0,7.9,7.7,7.1,15 ngõ 11 vương thừa vũ quận thanh xuân hà nội,07:00,22:00,15.000đ - 40.000đ,17,1,15,1,0,ap-91-s-cafe
10.0,10.0,10.0,10.0,9.7,c4x3 kđt mỹ đình p cầu diễn quận nam từ liêm hà nội,08:00,22:00,30.000đ - 50.000đ,3,3,0,0,0,th-jubilant-cafe
7.0,6.9,6.8,6.8,6.8,1431 nguyễn chí thanh quận hải châu đà nẵng,11:00,21:30,20.000đ - 30.000đ,71,6,45,7,13,bun-dau-ha-noi-xua-nguyen-chi-thanh
8.0,7.7,7.4,7.2,7.1,318 minh khai quận hoàng mai hà nội,08:30,23:00,20.000đ - 50.000đ,21,1,14,5,1,goky-tea-coffee-juice-minh-khai
8.8,8.7,8.5,7.2,6.7,15c thụy khuê quận tây hồ hà nội,06:00,19:00,20.000đ - 50.000đ,6,2,3,1,0,the-farm-tea-smoothies-juices
7.7,7.7,7.3,6.0,5.3,106 nguyễn lương bằng quận đống đa hà nội,08:00,23:00,20.000đ - 110.000đ,3,0,2,0,1,hoi-cafe
8.2,8.0,7.8,7.3,6.5,57 tràng tiền quận hoàn kiếm hà nội,07:00,22:30,25.000đ - 55.000đ,47,4,36,6,1,bo-de-ga
7.7,7.7,7.6,7.4,7.4,1c hồ đắc di quận đống đa hà nội,09:00,23:00,25.000đ - 60.000đ,22,5,12,4,1,ding-tea-ho-dac-di
6.9,6.9,6.3,6.1,5.8,439 hoàng quốc việt quận cầu giấy hà nội,08:00,23:00,25.000đ - 49.000đ,8,1,4,0,3,ding-tea-hoang-quoc-viet
7.5,7.3,7.0,6.8,6.4,tầng 1 tòa nhà artemis 3 lê trọng tấn quận thanh xuân hà nội,09:00,22:00,25.000đ - 47.000đ,10,1,6,2,1,ding-tea-artemis-tower
7.8,7.1,6.9,6.8,6.4,2 trần thái tông quận cầu giấy hà nội,08:00,23:00,35.000đ - 55.000đ,31,7,10,8,6,tra-sua-tocotoco-tran-thai-tong
7.7,7.3,6.9,6.6,6.2,244 ngõ văn chương quận đống đa hà nội,09:00,20:00,20.000đ - 50.000đ,41,2,23,12,4,nui-co-beo-ngo-van-chuong
8.9,8.5,8.1,8.0,7.6,14 trương công giai quận cầu giấy hà nội,09:00,23:00,150.000đ - 500.000đ,10,2,8,0,0,lau-hoi-truong-an
8.8,8.6,8.4,8.0,7.8,6a ngõ 9 hoàng cầu quận đống đa hà nội,08:00,23:00,20.000đ - 60.000đ,5,0,5,0,0,little-clouds-coffee
7.7,7.6,7.3,6.6,6.0,104a12 tôn thất tùng quận đống đa hà nội,09:00,22:45,40.000đ - 60.000đ,11,1,6,2,2,royaltea-ton-that-tung
7.9,7.8,7.2,7.0,6.6,39 hàng cót quận hoàn kiếm hà nội,08:00,23:00,30.000đ - 50.000đ,103,2,70,29,2,lutulata-hang-cot
8.4,8.1,7.9,7.9,6.2,314 bà triệu quận hai bà trưng hà nội,07:00,23:00,80.000đ - 150.000đ,220,17,172,28,3,starbucks-coffee-ba-trieu
7.7,7.4,6.1,5.9,5.8,66 nguyễn văn huyên quận cầu giấy hà nội,08:00,22:30,20.000đ - 60.000đ,15,0,9,4,2,helio-cafe-nguyen-van-huyen
8.0,7.8,7.7,7.7,7.1,120a1 ngõ 140 giảng võ quận ba đình hà nội,06:00,20:00,25.000đ - 35.000đ,56,14,30,8,4,bun-oc-gia-truyen-37-kim-ma-thuong
